Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-11-19 00:00:00,3.1,61.053527,41.6686181,21.2403881,20.9,76.4910213,103.438835,0.0
2006-11-19 02:00:00,3.2,61.7845902,42.0263407,21.4607755,21.1,75.0266611,103.7528004,0.0
2006-11-19 04:00:00,3.2,63.3663735,41.4945621,21.3565048,21.2,75.4164404,103.6533706,0.0
2006-11-19 06:00:00,3.1,63.5900403,41.3586757,21.5283147,21.5,77.0862154,103.82178,0.0
2006-11-19 08:00:00,3.2,62.5579888,41.9822289,21.5277733,20.7,78.6442493,103.5518941,0.0
2006-11-19 10:00:00,3.2,67.2472053,48.5576115,20.9307051,20.8,78.6975477,103.5913908,0.0
2006-11-19 12:00:00,3.3,62.7067114,49.052274,21.1529825,20.7,79.1801039,103.5394234,0.0
2006-11-19 14:00:00,3.2,60.7855492,48.696204,20.8545031,21.1,78.9928797,103.6287159,0.0
2006-11-19 16:00:00,3.2,64.1545527,49.4761074,21.0094732,20.9,77.9772177,103.6111269,0.0
2006-11-19 18:00:00,3.2,59.7596327,48.9238838,20.78963,21.1,76.4905203,103.6718289,0.0
2006-11-19 20:00:00,3.2,58.8431039,48.6048007,21.0603894,20.9,76.035026,103.7530103,0.0
2006-11-19 22:00:00,3.1,61.2708216,48.9043659,21.352727,21.1,75.2796822,103.6999819,0.0
2006-11-20 00:00:00,3.1,61.6498506,48.9403389,21.0291084,21.1,75.1491144,103.5073284,0.0
2006-11-20 02:00:00,3.0,57.5938154,48.1524855,21.3601031,21.2,74.9914233,103.6346402,0.0
2006-11-20 04:00:00,3.0,62.8473436,46.2295746,21.2394579,20.8,75.8659126,103.6134538,0.0
2006-11-20 06:00:00,3.0,58.0992818,46.9932706,21.1325623,21.0,76.0187124,103.5676211,0.0
2006-11-20 08:00:00,3.0,64.3683826,46.7981948,21.2066374,21.0,75.2010835,103.5897829,0.0
